statecurrent,inmidwest,midwesterner,statebirth,ideology,partyregaff,age,race,votehistory,education,gender,zip,weight,income,householdsize
AR,1,1,AR,Moderate,Democrat,30-39,Hispanic or Latino,Joe Biden,College Degree,Female,72903,4.25814325074842,64893.45395704731,2
AR,0,0,AR,Liberal,Not registered to vote,30-39,White or Caucasian,Joe Biden,High School or Less,Non Binary/Other,72903,0.9199475873150762,90641.50542253628,6
AR,0,0,AR,Moderate,Independent/Other,40-49,White or Caucasian,Did not vote,High School or Less,Male,72903,1.266887137506361,34322.415459901094,3
AR,0,0,AR,Liberal,Democrat,18-24,White or Caucasian,Joe Biden,High School or Less,Female,72903,0.5104792030385947,91796.20306473225,4
AR,0,0,AR,Liberal,Democrat,40-49,White or Caucasian,Someone else,Associate's Degree/Some College,Female,72901,0.1455810893011568,31587.90274290368,4
AR,1,0,AR,Conservative,Republican,18-24,White or Caucasian,Donald Trump,Associate's Degree/Some College,Male,72901,2.4772089558220114,29895.103310700506,6
AR,1,1,NY,Conservative,Republican,40-49,Black or African American,Donald Trump,Associate's Degree/Some College,Male,72901,0.8147441407181125,11031.946337316185,2
AR,0,0,KS,Moderate,Republican,40-49,White or Caucasian,Donald Trump,High School or Less,Female,72865,1.6513715295472664,39779.41248798743,1
AR,1,1,AR,Liberal,Democrat,50-59,White or Caucasian,Joe Biden,High School or Less,Female,72835,0.41163346243057586,68536.45542170852,1
AR,0,0,AR,Moderate,Democrat,25-29,Hispanic or Latino,Joe Biden,College Degree,Male,72833,4.21134683920488,81182.29559622705,2
AR,1,0,AR,Conservative,Republican,18-24,White or Caucasian,Donald Trump,Associate's Degree/Some College,Female,72833,2.0778888110071096,114237.49366309494,3
AR,1,1,AR,Moderate,Not registered to vote,18-24,White or Caucasian,Did not vote,High School or Less,Female,72830,0.9677603050045165,88018.68919515982,3
AR,0,0,AR,Moderate,Independent/Other,40-49,White or Caucasian,Did not vote,Associate's Degree/Some College,Female,72830,0.6753198103559229,41161.27794375643,1
AR,0,0,CA,Conservative,Republican,40-49,White or Caucasian,Donald Trump,High School or Less,Female,72830,1.6513715295472664,103680.2412616089,1
AR,0,0,AR,Conservative,Independent/Other,30-39,White or Caucasian,Donald Trump,Postgraduate or Higher,Female,72802,0.8867954052294756,42724.631207529455,4
AR,1,1,AR,Moderate,Not registered to vote,25-29,White or Caucasian,Did not vote,High School or Less,Male,72774,1.6363054865915687,40349.81116419658,4
AR,1,1,CA,Moderate,Democrat,25-29,Hispanic or Latino,Joe Biden,Associate's Degree/Some College,Male,72764,4.441259281043617,55170.44089036062,5
AR,0,0,CA,Moderate,Not registered to vote,40-49,White or Caucasian,Did not vote,High School or Less,Female,72764,0.6063098972128816,75567.8860633634,2
AR,0,0,TX,Moderate,Democrat,30-39,Black or African American,Did not vote,High School or Less,Female,72762,0.9031096409609285,24974.75859709084,2
AR,0,0,AR,Liberal,Democrat,40-49,White or Caucasian,Joe Biden,Postgraduate or Higher,Male,72753,0.8225504735920233,32155.111932661384,4
AR,0,0,AR,Liberal,Democrat,30-39,Other or Multiple Races,Donald Trump,Associate's Degree/Some College,Female,72751,2.588213209682111,47310.02593180165,2
AR,1,1,AR,Moderate,Democrat,18-24,White or Caucasian,Joe Biden,College Degree,Male,72742,1.172268425693627,35709.338777232915,6
AR,0,0,CA,Liberal,Democrat,30-39,Hispanic or Latino,Donald Trump,College Degree,Male,72740,1.9305412471238683,94780.77019797638,6
AR,0,0,AR,Moderate,Republican,50-59,White or Caucasian,Did not vote,High School or Less,Female,72738,0.8596383471410863,96273.95737217739,2
AR,0,0,AR,Moderate,Republican,40-49,White or Caucasian,Did not vote,Vocational/Technical School,Female,72736,0.617547866953114,117053.51300537586,5
AR,1,0,AR,Moderate,Republican,30-39,White or Caucasian,Joe Biden,Vocational/Technical School,Male,72736,0.8869347355135773,79204.06711753458,1
AR,0,0,AR,Moderate,Not registered to vote,18-24,White or Caucasian,Did not vote,High School or Less,Female,72734,0.9677603050045165,62075.94052422792,2
AR,1,0,AR,Moderate,Democrat,30-39,White or Caucasian,Joe Biden,High School or Less,Female,72730,0.3919604365655823,31725.396593101323,2
AR,0,0,AR,Moderate,Not registered to vote,30-39,White or Caucasian,Did not vote,High School or Less,Female,72719,0.7430738595862719,108133.6358259432,3
